class,n_validation,accuracy
chair,101,0.8217821782178217
road,104,0.8076923076923077
sunflower,106,0.7735849056603774
cockroach,99,0.7676767676767676
plain,107,0.7570093457943925
wardrobe,100,0.74
lawn_mower,91,0.7362637362637363
maple_tree,101,0.7326732673267327
skunk,97,0.7319587628865979
cloud,104,0.7307692307692307
apple,90,0.7111111111111111
orange,100,0.71
skyscraper,101,0.693069306930693
motorcycle,110,0.6909090909090909
cup,117,0.6837606837606838
keyboard,105,0.6571428571428571
palm_tree,91,0.6483516483516484
rose,116,0.6379310344827587
chimpanzee,94,0.6276595744680851
mountain,93,0.6129032258064516
rocket,99,0.5858585858585859
television,95,0.5789473684210527
shark,104,0.5673076923076923
elephant,104,0.5576923076923077
tank,104,0.5480769230769231
bottle,114,0.543859649122807
castle,91,0.5274725274725275
worm,92,0.5217391304347826
cattle,76,0.5131578947368421
bicycle,107,0.5046728971962616
mushroom,92,0.5
sea,108,0.5
dolphin,99,0.494949494949495
bee,83,0.4939759036144578
orchid,92,0.4891304347826087
whale,107,0.48598130841121495
tiger,97,0.4845360824742268
aquarium_fish,111,0.4774774774774775
trout,109,0.47706422018348627
telephone,122,0.4672131147540984
poppy,105,0.4666666666666667
plate,101,0.46534653465346537
bus,85,0.4588235294117647
lion,101,0.45544554455445546
bed,87,0.4482758620689655
pickup_truck,103,0.44660194174757284
pine_tree,110,0.44545454545454544
beetle,93,0.43010752688172044
tractor,120,0.425
house,98,0.40816326530612246
beaver,100,0.4
bridge,89,0.39325842696629215
can,102,0.39215686274509803
raccoon,113,0.3893805309734513
lobster,109,0.3761467889908257
bowl,81,0.37037037037037035
crab,103,0.36893203883495146
table,98,0.3673469387755102
train,80,0.3625
wolf,100,0.36
forest,89,0.3595505617977528
lamp,109,0.3577981651376147
leopard,88,0.3522727272727273
hamster,98,0.3469387755102041
pear,88,0.32954545454545453
spider,97,0.31958762886597936
streetcar,105,0.3142857142857143
camel,100,0.31
bear,107,0.308411214953271
woman,85,0.3058823529411765
man,93,0.3010752688172043
willow_tree,106,0.29245283018867924
fox,88,0.2840909090909091
oak_tree,88,0.2840909090909091
dinosaur,96,0.28125
boy,103,0.27184466019417475
ray,98,0.2653061224489796
crocodile,119,0.2605042016806723
kangaroo,93,0.24731182795698925
porcupine,114,0.24561403508771928
shrew,103,0.24271844660194175
butterfly,95,0.24210526315789474
flatfish,99,0.23232323232323232
baby,104,0.23076923076923078
turtle,104,0.22115384615384615
clock,108,0.21296296296296297
couch,104,0.21153846153846154
snake,102,0.20588235294117646
caterpillar,89,0.20224719101123595
possum,99,0.1919191919191919
sweet_pepper,90,0.18888888888888888
rabbit,102,0.17647058823529413
snail,93,0.15053763440860216
girl,110,0.14545454545454545
tulip,94,0.13829787234042554
lizard,106,0.1320754716981132
squirrel,105,0.11428571428571428
otter,95,0.10526315789473684
seal,103,0.0970873786407767
mouse,120,0.03333333333333333
